Diver,Date,Board,Place,Competitors Count,Final Score,Z-Score,Mean,Standard Deviation
Max Valasek,07-30-2019,16-18 Boys 1m J.O,10,42,429.5,0.64,408.39,32.99
Max Valasek,07-30-2019,16-18 Boys 3m J.O,18,43,449.65,0.45,431.07,41.01
Max Valasek,07-30-2019,16-18 Boys Platform J.O,19,23,313.9,-1.31,372.21,44.47
Max Valasek,06-29-2019,Senior Men 3m,3,4,269.5,-0.22,278.07,38.98
Max Valasek,06-14-2019,16-18 Boys 1m J.O,11,24,433.4,0.42,410.04,56.25
Max Valasek,06-14-2019,16-18 Boys 3m J.O,12,23,440.7,-0.07,446.11,79.53
Max Valasek,06-14-2019,16-18 Boys Platform J.O,8,10,356.05,-0.03,360.44,125.81
Max Valasek,05-03-2019,CIF Boys  (11 dives),3,27,235.2,1.39,171.52,45.85
Max Valasek,05-03-2019,CIF Boys  (11 dives),4,20,356.65,1.17,294.54,53.09
Max Valasek,05-03-2019,CIF Boys  (11 dives),5,16,498.6,0.92,432.32,72.2
Max Valasek,04-26-2019,16-18 Boys 1m J.O,4,26,440.95,0.83,380.11,73.47
Max Valasek,04-26-2019,16-18 Boys 3m J.O,6,24,456.8,0.64,405.54,79.73
Max Valasek,11-10-2018,16-18 Boys 3m J.O,3,6,429.0,0.19,419.98,46.34
Max Valasek,07-29-2018,16-18 Boys 1m J.O,24,41,405.2,-0.0,405.24,58.47
Max Valasek,07-29-2018,16-18 Boys 3m J.O,25,41,413.05,-0.36,425.85,35.22
Max Valasek,07-29-2018,16-18 Boys Platform J.O,25,25,304.9,-1.7,364.09,34.76
Max Valasek,06-28-2018,16-18 Boys 1m J.O,4,20,461.2,1.01,416.0,44.7
Max Valasek,06-28-2018,16-18 Boys 3m J.O,4,22,491.1,1.03,436.01,53.42
Max Valasek,06-28-2018,16-18 Boys Platform J.O,11,17,352.7,-0.08,357.8,67.73
Max Valasek,06-16-2018,Senior Men 3m,1,2,253.2,0.71,238.52,20.75
Max Valasek,05-18-2018,High School Boys 1m (11 dives),22,27,178.65,-0.77,201.59,29.71
Max Valasek,05-11-2018,CIF Boys  (11 dives),5,33,237.3,1.43,170.87,46.49
Max Valasek,05-11-2018,CIF Boys  (11 dives),4,20,349.65,0.83,302.38,56.69
Max Valasek,05-11-2018,CIF Boys  (11 dives),4,16,504.9,0.74,448.26,76.1
Max Valasek,04-27-2018,16-18 Boys 1m J.O,15,32,382.15,0.27,359.61,84.07
Max Valasek,04-27-2018,16-18 Boys 3m J.O,8,31,457.45,0.71,388.81,96.04
Max Valasek,04-14-2018,16-18 Boys 1m J.O,2,15,458.8,0.78,373.45,109.15
Max Valasek,04-14-2018,16-18 Boys 3m J.O,3,12,471.2,0.76,391.5,104.41
Max Valasek,03-08-2018,16-18 Boys 1m J.O,10,18,401.7,-0.27,417.12,57.62
Max Valasek,03-08-2018,16-18 Boys Platform J.O,8,8,107.8,-2.25,409.28,134.19
Max Valasek,03-08-2018,Challenge All Ages Boys 3m,10,22,275.35,-0.13,282.13,52.62
Max Valasek,03-08-2018,Challenge All Ages Boys 3m,4,4,265.1,-1.18,328.02,53.36
Max Valasek,07-29-2017,16-18 Boys 1m J.O,32,44,384.6,-0.51,404.15,38.16
Max Valasek,07-29-2017,16-18 Boys 3m J.O,15,44,434.85,0.25,421.97,50.71
Max Valasek,07-05-2017,16-18 Boys 1m J.O,12,25,409.85,0.26,396.96,48.66
Max Valasek,07-05-2017,16-18 Boys 3m J.O,8,24,463.65,0.65,421.25,64.86
Max Valasek,04-21-2017,16-18 Boys 1m J.O,1,25,426.3,1.48,333.14,62.97
Max Valasek,04-21-2017,16-18 Boys 3m J.O,9,24,427.25,0.67,367.7,88.25
Max Valasek,04-21-2017,16-18 Boys Platform J.O,5,8,333.2,-0.06,339.47,102.36
Max Valasek,04-01-2017,16-18 Boys 1m J.O,7,16,378.6,0.37,348.98,79.97
Max Valasek,08-01-2016,14-15 Boys 1m  J.O,20,32,295.45,-0.27,306.15,39.87
Max Valasek,08-01-2016,14-15 Boys 3m J.O,15,30,316.1,0.11,312.18,35.13
Max Valasek,08-01-2016,14-15 Boys Platform J.O,16,22,259.95,-0.46,274.12,31.09
Max Valasek,07-07-2016,14-15 Boys 1m  J.O,3,16,338.65,0.88,285.74,59.97
Max Valasek,07-07-2016,14-15 Boys 3m J.O,4,14,358.75,0.75,313.99,59.32
Max Valasek,07-07-2016,14-15 Boys Platform J.O,7,7,262.3,-1.11,303.14,36.82
Max Valasek,04-29-2016,14-15 Boys 1m  J.O,6,13,304.65,0.35,288.11,46.73
Max Valasek,04-29-2016,14-15 Boys 3m J.O,7,10,302.5,-0.54,329.77,50.74
Max Valasek,08-01-2015,14-15 Boys 1m  J.O,35,42,255.15,-0.98,283.83,29.15
Max Valasek,08-01-2015,14-15 Boys 3m J.O,23,39,313.0,0.08,310.25,35.21
Max Valasek,08-01-2015,14-15 Boys Platform J.O,16,26,255.05,-0.08,258.39,40.2
Max Valasek,06-11-2015,14-15 Boys 1m  J.O,9,20,282.1,-0.04,284.19,49.74
Max Valasek,06-11-2015,14-15 Boys 3m J.O,8,17,317.05,0.2,305.77,56.22
Max Valasek,06-11-2015,14-15 Boys Platform J.O,5,16,293.9,0.73,253.32,55.58
Max Valasek,05-02-2015,14-15 Boys 1m  J.O,7,14,284.95,-0.19,294.49,49.88
Max Valasek,05-02-2015,14-15 Boys 3m J.O,10,13,307.7,-0.41,331.93,58.86
Max Valasek,03-27-2015,14-15 Boys 1m  J.O,4,11,290.6,0.12,284.08,54.84
Max Valasek,03-27-2015,14-15 Boys 3m J.O,5,8,310.15,-0.42,336.89,63.35
Max Valasek,03-27-2015,14-15 Boys Platform J.O,5,7,242.85,-0.43,262.59,45.83
Max Valasek,12-05-2014,12-13 Boys 1m J.O,1,11,270.0,1.38,220.29,35.92
Max Valasek,12-05-2014,12-13 Boys 3m J.O,1,9,276.1,1.18,242.18,28.79
Max Valasek,12-05-2014,12-13 Boys Platform J.O,3,5,251.0,-0.18,255.42,24.49
Max Valasek,08-04-2014,12-13 Boys 1m J.O,19,33,253.6,-0.11,257.16,32.65
Max Valasek,08-04-2014,12-13 Boys 3m J.O,11,34,274.4,0.09,270.74,41.57
Max Valasek,08-04-2014,12-13 Boys 3m J.O,12,12,278.6,-1.05,320.99,40.34
Max Valasek,08-04-2014,12-13 Boys Platform J.O,7,30,261.5,0.55,239.79,39.49
Max Valasek,08-04-2014,12-13 Boys Platform J.O,6,12,266.6,-0.32,279.21,39.08
Max Valasek,07-10-2014,12-13 Boys 1m J.O,4,24,246.0,1.09,207.29,35.62
Max Valasek,07-10-2014,12-13 Boys 3m J.O,3,22,276.7,1.15,230.21,40.51
Max Valasek,07-10-2014,12-13 Boys Platform J.O,5,13,239.0,0.69,213.16,37.54
Max Valasek,06-13-2014,12-13 Boys 1m J.O,4,18,249.05,1.09,213.17,32.9
